# 3ph linewidth Gamma at 300 K on the irreducible points of the 20 20 20 mesh (from BAs.kappa.h5, /scattering/3ph); modes with Gamma = 0 (acoustic at Gamma) are omitted
# Frequency [cm^-1]  Gamma [cm^-1] (tau = 1/(2 Gamma))
    678.2758   1.017013e-02
    679.2522   8.037126e-03
    711.6715   2.742345e-02
    142.2858   6.874067e-03
    146.2470   7.220584e-03
    308.9639   2.479098e-02
    678.1819   1.008912e-02
    679.5044   7.768187e-03
    711.7713   2.690776e-02
    139.9676   7.284222e-03
    143.6782   8.147441e-03
    300.8043   3.397513e-02
    678.2943   9.625136e-03
    679.9388   7.381625e-03
    712.6924   2.597177e-02
    135.4390   8.034532e-03
    139.1675   9.853833e-03
    285.5520   4.066378e-02
    678.7551   9.055879e-03
    680.7133   6.843572e-03
    713.2676   2.336186e-02
    128.4156   1.144818e-02
    132.7058   1.248721e-02
    263.2296   3.163591e-02
    679.8913   8.574058e-03
    682.2197   5.844974e-03
    712.3688   1.949141e-02
    118.3418   1.231888e-02
    123.9516   1.550031e-02
    234.1938   2.002442e-02
    682.1126   7.777736e-03
    684.9302   3.408292e-03
    709.9306   1.500911e-02
    104.5634   1.014248e-02
    112.1742   1.851588e-02
    199.2642   1.135578e-02
    685.6358   2.801694e-03
    689.0028   6.916253e-04
    707.1039   5.221632e-03
     86.7446   1.002282e-02
     96.5434   2.366605e-02
    159.7733   7.974565e-03
    690.2144   4.445881e-04
    693.9489   5.116484e-05
    705.4011   8.630899e-04
     65.4418   5.644551e-03
     76.6461   3.719245e-02
    117.7406   2.553784e-02
    695.1684   6.746596e-05
    698.6966   7.408800e-06
    705.4551   1.095080e-04
     43.0998   1.487063e-03
     52.6063   1.609676e-02
     77.2418   2.671651e-02
    699.7371   1.251298e-05
    702.0448   3.386831e-06
    706.3925   1.301250e-05
     72.1284   4.354779e-02
     72.1284   4.354495e-02
    101.8472   5.810960e-03
    694.8482   5.670560e-04
    694.8482   5.669501e-04
    710.7702   2.719234e-03
     89.5163   3.883547e-02
     90.0263   3.020420e-02
    132.3450   9.345932e-03
    690.0230   3.135815e-03
    690.4952   2.511339e-03
    711.4393   1.313219e-02
    105.6492   2.341027e-02
    109.3679   2.574886e-02
    167.3481   6.865243e-03
    684.9579   7.531988e-03
    686.2817   6.872927e-03
    711.1582   2.076431e-02
    118.8300   1.977711e-02
    126.9419   1.626620e-02
    201.9029   1.292461e-02
    680.5465   1.019068e-02
    682.1039   1.156666e-02
    711.4419   2.397679e-02
    128.9877   1.610582e-02
    140.9100   9.539015e-03
    233.6270   1.770845e-02
    677.3100   1.027353e-02
    678.0096   1.323871e-02
    712.7683   3.370834e-02
    136.7165   1.306010e-02
    151.0829   7.289945e-03
    260.7780   2.924451e-02
    674.5283   1.318959e-02
    675.3093   9.909138e-03
    714.2203   5.245410e-02
    142.5573   1.045165e-02
    158.0121   6.770918e-03
    282.1116   3.576606e-02
    672.0937   1.394728e-02
    674.2867   9.962470e-03
    714.7157   5.717926e-02
    146.6988   8.322581e-03
    162.3303   6.618730e-03
    296.9076   3.156950e-02
    670.7368   1.516353e-02
    673.9187   1.021458e-02
    714.0615   5.906587e-02
    149.0663   7.705206e-03
    164.4590   6.378977e-03
    304.8874   2.482245e-02
    670.2481   1.574983e-02
    673.9802   1.043632e-02
    712.9622   5.916546e-02
    149.5362   7.548732e-03
    164.5996   6.379968e-03
    306.0074   2.368503e-02
    670.3211   1.540213e-02
    674.3506   1.035819e-02
    712.3391   5.761971e-02
    148.0357   8.300161e-03
    162.8607   7.079642e-03
    300.2401   2.907666e-02
    670.6847   1.443094e-02
    674.9846   9.937300e-03
    712.5219   5.430964e-02
    144.4492   7.825551e-03
    159.3680   8.171886e-03
    287.5245   3.552216e-02
    671.3378   1.328733e-02
    675.9851   9.372244e-03
    712.9148   4.808053e-02
    138.4614   8.380132e-03
    154.2183   9.538175e-03
    267.9491   3.483144e-02
    672.6301   1.253019e-02
    677.6995   8.620253e-03
    712.5165   3.803862e-02
    129.5393   1.193351e-02
    147.2218   1.267597e-02
    242.0374   2.221541e-02
    675.0497   1.243794e-02
    680.6010   7.061766e-03
    710.8532   2.727283e-02
    117.1628   1.181286e-02
    137.5711   2.074856e-02
    211.0245   1.530444e-02
    678.8822   1.225037e-02
    684.8928   3.259131e-03
    708.4406   1.941516e-02
    101.2908   1.033357e-02
    123.6468   2.285461e-02
    177.2462   9.274249e-03
    683.9324   5.622233e-03
    690.1153   4.363900e-04
    706.4074   7.980951e-03
     83.0066   7.421410e-03
    103.1997   3.312671e-02
    144.7332   1.052230e-02
    689.5698   7.531616e-04
    695.1511   3.934604e-05
    705.5438   1.341739e-03
    103.6753   2.884339e-02
    103.6753   2.877751e-02
    149.4080   5.870365e-03
    685.0329   1.077142e-02
    685.0329   1.077045e-02
    714.6672   2.261120e-02
    117.7468   1.987376e-02
    120.2325   1.850956e-02
    174.6790   6.673837e-03
    679.7869   1.209150e-02
    680.0883   1.293382e-02
    716.0072   3.565863e-02
    129.6595   1.631789e-02
    138.9741   1.340600e-02
    201.4225   1.137803e-02
    675.1241   1.375366e-02
    675.6456   1.529692e-02
    716.2580   5.929385e-02
    138.9958   1.519283e-02
    156.1610   7.903336e-03
    227.4600   1.823638e-02
    671.2212   2.089544e-02
    671.5330   1.752395e-02
    716.4487   7.222263e-02
    146.1789   1.235351e-02
    169.5267   6.049582e-03
    251.4861   2.494436e-02
    666.8073   2.967056e-02
    669.1149   2.072216e-02
    716.8427   7.952335e-02
    151.7000   9.343551e-03
    178.7861   5.258126e-03
    271.9691   3.360364e-02
    663.0522   4.023892e-02
    667.7009   2.274906e-02
    716.9347   9.160058e-02
    155.7311   8.914587e-03
    184.6055   4.768757e-03
    287.4723   3.215606e-02
    660.6066   4.770763e-02
    667.0463   2.293419e-02
    716.3130   1.020380e-01
    158.1811   8.732464e-03
    187.7556   4.347542e-03
    297.0305   2.541948e-02
    659.6641   5.131593e-02
    666.9630   2.121229e-02
    715.1276   1.034836e-01
    158.9211   8.112886e-03
    188.7784   4.253333e-03
    300.1732   2.340344e-02
    659.9074   5.180698e-02
    667.3340   1.826824e-02
    713.9185   9.774469e-02
    157.8867   8.317780e-03
    187.9647   4.235689e-03
    296.7072   2.482385e-02
    660.7597   4.809190e-02
    668.0992   1.517524e-02
    713.1629   8.879528e-02
    154.9710   7.596969e-03
    185.4510   4.776859e-03
    286.5549   3.060615e-02
    661.9065   4.065232e-02
    669.3272   1.260172e-02
    712.8444   7.767646e-02
    149.8610   7.885926e-03
    181.2488   6.851564e-03
    269.9071   3.246972e-02
    663.6399   2.999229e-02
    671.3178   1.082744e-02
    712.4339   6.390153e-02
    142.0416   8.670010e-03
    174.9721   8.727408e-03
    247.6645   2.769479e-02
    666.6108   1.848574e-02
    674.5142   1.008610e-02
    711.3986   4.699344e-02
    131.0695   1.370998e-02
    165.1272   1.322348e-02
    222.1037   2.150526e-02
    671.2464   1.473386e-02
    679.1262   8.175580e-03
    709.7052   3.188943e-02
    117.0625   1.225287e-02
    148.5188   1.821211e-02
    197.4857   1.274177e-02
    677.3082   1.374057e-02
    684.7096   3.309913e-03
    707.8496   2.095114e-02
    130.3113   1.302923e-02
    130.3113   1.292173e-02
    192.9998   6.125578e-03
    674.3826   1.739024e-02
    674.3826   1.739021e-02
    719.5155   7.268245e-02
    141.2167   1.214299e-02
    144.8283   1.343979e-02
    213.7656   1.162556e-02
    669.5387   2.923201e-02
    669.5408   2.908654e-02
    721.2034   8.370440e-02
    149.8533   1.100871e-02
    162.8518   9.265807e-03
    233.1941   1.785957e-02
    664.9712   3.630474e-02
    665.6869   3.623511e-02
    721.4934   9.665261e-02
    156.5205   8.326822e-03
    180.6318   7.058407e-03
    250.6454   2.579277e-02
    660.1408   4.349911e-02
    662.9294   4.067436e-02
    721.0929   1.182399e-01
    161.6747   7.639899e-03
    195.0694   5.676810e-03
    266.1872   3.065476e-02
    655.3880   4.793879e-02
    661.1611   4.233396e-02
    720.3609   1.359352e-01
    165.4795   6.226155e-03
    204.9759   4.708710e-03
    279.2343   3.036422e-02
    651.6995   5.077453e-02
    660.2121   4.202116e-02
    719.3029   1.413413e-01
    167.8240   6.430272e-03
    210.7958   3.967934e-03
    288.4800   2.825731e-02
    649.8502   5.344079e-02
    659.9381   4.200606e-02
    717.9220   1.434466e-01
    168.5668   7.379461e-03
    213.5370   3.299131e-03
    292.6672   2.263355e-02
    649.8356   5.123561e-02
    660.2356   4.225094e-02
    716.3746   1.425028e-01
    167.6619   8.135886e-03
    213.9853   3.156058e-03
    291.0432   2.323148e-02
    650.9929   4.645403e-02
    661.0483   4.002896e-02
    714.9154   1.308358e-01
    165.0485   8.324560e-03
    212.4647   3.596927e-03
    283.3357   2.795354e-02
    652.6927   4.605942e-02
    662.4408   3.319483e-02
    713.7379   1.152123e-01
    160.4643   8.079881e-03
    208.7558   4.972601e-03
    269.9050   3.278206e-02
    654.9985   5.078688e-02
    664.6905   2.235996e-02
    712.8111   9.912650e-02
    153.4397   7.827731e-03
    201.5896   6.738128e-03
    252.5262   3.158260e-02
    658.6055   5.070555e-02
    668.2052   1.305178e-02
    711.9239   7.445436e-02
    143.5832   8.995984e-03
    187.7856   8.861810e-03
    235.3688   2.901840e-02
    664.1030   2.552307e-02
    673.1697   1.057502e-02
    710.8952   5.023514e-02
    151.4030   1.107843e-02
    151.4030   1.094239e-02
    231.4548   1.562351e-02
    664.5623   3.741953e-02
    664.5623   3.741939e-02
    724.8706   1.118758e-01
    159.5028   8.386304e-03
    163.5773   8.716835e-03
    248.0569   2.073749e-02
    660.2025   4.088220e-02
    660.5577   3.940342e-02
    726.5752   1.629575e-01
    165.7388   6.889358e-03
    180.3901   7.514059e-03
    261.4428   2.509147e-02
    655.6344   4.897514e-02
    657.5934   4.115527e-02
    726.4501   1.844907e-01
    170.5609   6.111714e-03
    198.5166   6.260734e-03
    271.5156   3.366083e-02
    650.6941   5.971096e-02
    655.5962   4.142330e-02
    725.1379   1.912474e-01
    174.1449   5.519784e-03
    214.5827   4.994521e-03
    278.8933   3.455112e-02
    646.1885   7.332272e-02
    654.4567   4.245408e-02
    723.2969   1.938910e-01
    176.3611   5.584829e-03
    226.3820   4.001905e-03
    283.9737   3.117103e-02
    643.2557   8.488510e-02
    654.0655   4.290610e-02
    721.3340   1.894971e-01
    177.0291   5.424455e-03
    233.4952   3.337612e-03
    286.2763   2.523643e-02
    642.4377   8.461092e-02
    654.3201   3.985075e-02
    719.3932   1.774869e-01
    176.0887   6.399667e-03
    236.7391   3.253347e-03
    284.7342   2.162396e-02
    643.3670   7.528859e-02
    655.1599   3.736150e-02
    717.4841   1.648045e-01
    173.5161   7.501950e-03
    236.8035   4.490390e-03
    278.6684   2.532276e-02
    645.3423   6.314350e-02
    656.6598   4.049771e-02
    715.6434   1.465084e-01
    169.1260   7.939320e-03
    232.9752   6.151132e-03
    268.8987   3.469216e-02
    648.1690   4.654550e-02
    659.1083   4.163727e-02
    714.0093   1.227099e-01
    162.5385   8.144520e-03
    222.0193   6.779968e-03
    259.0729   3.918480e-02
    652.3843   4.522227e-02
    662.9048   2.830095e-02
    712.7488   1.053856e-01
    167.1565   6.288769e-03
    167.1565   6.234419e-03
    263.8045   2.506468e-02
    656.4457   4.777822e-02
    656.4457   4.740515e-02
    730.2796   2.002766e-01
    172.9869   6.211403e-03
    177.1468   6.109963e-03
    276.4072   2.913663e-02
    652.7185   6.515477e-02
    653.3623   5.903225e-02
    731.6931   2.271347e-01
    177.4644   5.242888e-03
    192.5382   5.376922e-03
    284.7702   3.321399e-02
    648.4694   7.708014e-02
    651.2417   6.527459e-02
    730.8234   2.508031e-01
    180.8146   4.575685e-03
    210.2932   4.864601e-03
    289.0161   3.969240e-02
    644.0462   9.201265e-02
    650.0256   6.537591e-02
    728.4650   2.636376e-01
    182.9163   4.579988e-03
    227.1783   4.047220e-03
    289.7122   3.732272e-02
    640.4558   1.072208e-01
    649.6377   5.851638e-02
    725.6164   2.662699e-01
    183.5396   4.422671e-03
    240.8647   3.259152e-03
    287.3741   3.001389e-02
    638.6097   1.170245e-01
    649.9592   5.133883e-02
    722.9145   2.546006e-01
    182.5628   4.743045e-03
    250.3475   3.733224e-03
    282.1400   1.814097e-02
    638.7137   1.164282e-01
    650.8931   4.659077e-02
    720.4738   2.231706e-01
    179.9455   5.727301e-03
    255.0693   6.614282e-03
    274.3413   1.556368e-02
    640.4037   9.266599e-02
    652.5025   3.707894e-02
    718.1497   1.909132e-01
    175.5566   6.880795e-03
    250.3626   5.624379e-03
    268.7243   2.387905e-02
    643.4512   7.192468e-02
    655.0984   3.748519e-02
    715.9106   1.537903e-01
    178.3867   5.549011e-03
    178.3867   5.557928e-03
    289.3549   3.434108e-02
    650.1772   7.904265e-02
    650.1772   7.821808e-02
    735.2703   2.864295e-01
    182.4379   4.545077e-03
    186.5472   4.826663e-03
    298.0592   3.826886e-02
    647.1779   8.437458e-02
    647.9582   8.951371e-02
    736.1225   3.152889e-01
    185.4545   4.212002e-03
    200.5077   4.509206e-03
    302.0625   4.276915e-02
    643.6848   9.438688e-02
    646.6977   9.652449e-02
    734.3106   3.188954e-01
    187.3791   4.323174e-03
    217.3115   3.622045e-03
    301.6269   4.407164e-02
    640.2979   1.064364e-01
    646.3715   9.548303e-02
    730.8950   3.081003e-01
    187.9636   4.248111e-03
    233.8418   3.210548e-03
    297.2628   4.104590e-02
    637.8235   1.141330e-01
    646.8535   8.031798e-02
    727.1539   2.990291e-01
    187.0036   4.057940e-03
    247.8475   3.115876e-03
    289.4752   2.608209e-02
    636.8633   1.203510e-01
    647.9837   5.985243e-02
    723.8068   2.804284e-01
    184.3785   4.494667e-03
    257.5666   4.058695e-03
    279.2373   1.277880e-02
    637.6759   1.249026e-01
    649.7660   5.002238e-02
    720.8762   2.360383e-01
    185.9852   4.212045e-03
    185.9852   4.236803e-03
    307.7124   4.412639e-02
    645.6225   8.796363e-02
    645.6225   8.823278e-02
    739.3460   3.620610e-01
    188.5184   4.195957e-03
    192.5746   3.892307e-03
    312.6075   4.834526e-02
    643.4858   8.952563e-02
    644.2680   9.270113e-02
    739.4182   3.825025e-01
    190.1030   4.190892e-03
    205.0925   3.835354e-03
    312.6448   5.312991e-02
    641.0487   9.883352e-02
    643.9520   1.025563e-01
    736.5868   3.647130e-01
    190.5445   4.286453e-03
    220.5970   3.461515e-03
    308.2019   5.631500e-02
    638.7632   1.077254e-01
    644.5853   1.070032e-01
    732.1958   3.262318e-01
    189.5883   4.413623e-03
    235.8898   3.152962e-03
    299.9786   3.829276e-02
    637.1438   1.127214e-01
    645.9597   8.877403e-02
    727.7003   3.013879e-01
    190.4756   4.148611e-03
    190.4756   4.148560e-03
    318.7310   5.501850e-02
    642.7735   8.640139e-02
    642.7735   8.640152e-02
    742.0315   4.272541e-01
    191.5342   4.050431e-03
    195.5677   3.561394e-03
    319.8973   6.363988e-02
    641.6183   9.082774e-02
    642.3599   9.076849e-02
    741.1854   4.183595e-01
    191.6314   4.217670e-03
    206.6003   3.570189e-03
    316.1990   6.042477e-02
    640.2207   9.997150e-02
    643.0296   1.030384e-01
    737.3825   3.895354e-01
    191.9776   3.750330e-03
    191.9776   4.028618e-03
    322.3999   6.221991e-02
    641.7903   8.468350e-02
    641.7903   8.737222e-02
    742.9709   4.335608e-01
     71.5348   1.714692e-02
     81.5725   4.737319e-02
    116.6231   1.322941e-02
    693.6304   4.692318e-04
    695.8203   1.749759e-04
    708.4128   1.185629e-03
     90.0906   1.404269e-02
    103.0599   3.024805e-02
    151.7776   9.185314e-03
    688.3381   2.398749e-03
    691.8558   6.165344e-04
    708.0167   5.961903e-03
    107.4136   1.302298e-02
    119.9741   1.976716e-02
    188.3632   1.050148e-02
    683.3047   7.094114e-03
    687.4048   2.353416e-03
    708.4595   1.388645e-02
    121.2924   1.445358e-02
    132.9437   1.671447e-02
    222.7003   1.648351e-02
    679.1803   1.090373e-02
    683.0602   7.363576e-03
    710.2456   2.092630e-02
    131.5244   1.354835e-02
    142.7357   1.067817e-02
    252.5628   2.700074e-02
    676.2534   1.124184e-02
    679.6403   9.300597e-03
    712.3675   3.142961e-02
    138.8150   1.010095e-02
    149.9150   8.677799e-03
    276.5490   3.688281e-02
    674.3963   1.144627e-02
    677.5331   9.487925e-03
    713.5514   4.362906e-02
    143.8144   8.394370e-03
    154.8683   7.388024e-03
    293.8838   3.437456e-02
    673.3343   1.219393e-02
    676.4883   9.820517e-03
    713.3939   4.855633e-02
    146.7960   7.990179e-03
    157.8074   7.291384e-03
    304.2815   2.554165e-02
    672.8068   1.305635e-02
    676.0592   1.014451e-02
    712.5594   5.033336e-02
    147.7945   7.442170e-03
    158.7876   6.998134e-03
    307.7358   2.242778e-02
    672.6471   1.347772e-02
    675.9489   1.028544e-02
    712.1123   5.062371e-02
    102.9760   2.224551e-02
    110.5713   2.570111e-02
    157.2382   1.080998e-02
    684.4296   1.028708e-02
    686.2145   8.279547e-03
    712.6044   2.224808e-02
    117.9056   2.606171e-02
    129.6796   1.963510e-02
    185.7096   9.398636e-03
    678.9135   1.268580e-02
    682.1179   1.213391e-02
    712.8011   2.731832e-02
    130.5391   1.993003e-02
    145.8395   1.191494e-02
    214.8783   1.584030e-02
    674.2020   1.332440e-02
    677.9951   1.269801e-02
    713.2411   4.369963e-02
    139.9997   1.581220e-02
    158.4480   7.681419e-03
    242.3684   2.434149e-02
    670.4189   1.659339e-02
    674.2416   1.264297e-02
    714.1971   6.021382e-02
    146.9274   1.131884e-02
    167.5330   6.012789e-03
    266.0865   3.151481e-02
    667.3284   2.318706e-02
    671.6900   1.305385e-02
    714.9680   6.837934e-02
    151.9139   9.512192e-03
    173.6055   5.394028e-03
    284.4832   3.404830e-02
    665.0646   3.033868e-02
    670.4119   1.370238e-02
    714.9254   7.548597e-02
    155.1617   8.878286e-03
    177.2266   5.087596e-03
    296.6482   2.938718e-02
    663.8353   3.506088e-02
    669.9526   1.382361e-02
    714.1574   7.921802e-02
    156.6556   8.028924e-03
    178.7750   5.243114e-03
    302.1998   2.427175e-02
    663.5216   3.605545e-02
    669.9757   1.347711e-02
    713.3007   7.976794e-02
    156.3496   8.209480e-03
    178.4397   5.544222e-03
    301.0329   2.501384e-02
    663.8447   3.390678e-02
    670.3083   1.293391e-02
    712.9550   7.806852e-02
    154.1958   8.597028e-03
    176.2995   5.893693e-03
    293.1050   3.150551e-02
    664.6127   2.965029e-02
    670.9703   1.223425e-02
    713.1400   7.390273e-02
    150.0412   8.843821e-03
    172.3719   6.669014e-03
    278.4768   3.549230e-02
    665.9232   2.374890e-02
    672.2295   1.140041e-02
    713.2541   6.591464e-02
    143.5179   9.525088e-03
    166.5265   8.248512e-03
    257.5992   2.937396e-02
    668.1266   1.730325e-02
    674.5313   1.075262e-02
    712.6338   5.379055e-02
    134.0799   1.391524e-02
    158.2088   1.126952e-02
    231.6746   2.161749e-02
    671.5708   1.413143e-02
    678.1858   9.906104e-03
    711.1959   3.652051e-02
    121.3602   1.399897e-02
    146.0069   1.718857e-02
    203.0607   1.460916e-02
    676.3691   1.390167e-02
    682.8878   7.105144e-03
    709.5761   2.504420e-02
    105.9099   1.190944e-02
    127.6557   2.378036e-02
    175.4540   1.241712e-02
    682.2006   9.409621e-03
    687.7167   2.903491e-03
    708.5471   1.759676e-02
    130.7095   1.432451e-02
    135.8235   1.627033e-02
    196.1925   8.413408e-03
    673.9861   1.637976e-02
    675.7056   1.467725e-02
    717.6158   6.563017e-02
    142.2823   1.305218e-02
    153.4706   1.189736e-02
    217.9555   1.512264e-02
    668.8470   2.773746e-02
    671.6711   2.144334e-02
    717.9939   7.885818e-02
    150.9056   1.062347e-02
    170.5677   7.874880e-03
    238.9243   2.232951e-02
    664.4245   3.729919e-02
    667.8578   2.820978e-02
    717.9594   8.684935e-02
    157.3001   8.131336e-03
    184.1572   6.074781e-03
    258.4354   2.867218e-02
    660.1853   4.543699e-02
    665.0650   3.375043e-02
    717.8059   1.020316e-01
    162.0185   7.413840e-03
    193.4719   5.092440e-03
    275.1854   3.331802e-02
    656.5277   4.699608e-02
    663.5276   3.694302e-02
    717.3471   1.192273e-01
    165.2016   6.824268e-03
    199.1108   4.479642e-03
    287.6003   3.195838e-02
    654.2744   4.645341e-02
    662.8716   3.801299e-02
    716.4623   1.277355e-01
    166.7910   6.811029e-03
    201.9481   4.042599e-03
    294.5033   2.515315e-02
    653.6119   4.683928e-02
    662.8271   3.704735e-02
    715.3299   1.275590e-01
    166.7328   7.334382e-03
    202.6163   3.725645e-03
    295.2857   2.285620e-02
    654.1313   4.861502e-02
    663.2554   3.376901e-02
    714.2940   1.183400e-01
    164.9870   8.226183e-03
    201.4078   3.944572e-03
    289.7180   2.610460e-02
    655.3122   5.131260e-02
    664.1417   2.838992e-02
    713.5898   1.049886e-01
    161.3849   8.410095e-03
    198.3187   4.713016e-03
    277.8879   3.271434e-02
    657.0414   5.247818e-02
    665.6808   2.167198e-02
    713.1336   9.231476e-02
    155.5302   9.185573e-03
    192.9508   6.603930e-03
    260.5571   3.254599e-02
    659.7114   4.726743e-02
    668.2853   1.520735e-02
    712.6004   7.766597e-02
    146.9132   9.777753e-03
    183.9926   9.547179e-03
    239.8618   2.596812e-02
    663.8242   3.033324e-02
    672.3015   1.189796e-02
    711.7523   5.984307e-02
    135.2980   1.532750e-02
    168.7593   1.388904e-02
    219.7226   1.896868e-02
    669.5310   1.603668e-02
    677.4944   1.055859e-02
    710.6616   3.852381e-02
    152.9452   1.094260e-02
    156.1665   1.148641e-02
    231.6837   1.660030e-02
    664.2431   3.792312e-02
    665.5484   3.722451e-02
    722.9244   1.020444e-01
    161.4503   8.430961e-03
    172.7576   8.722965e-03
    247.4265   2.204016e-02
    659.6820   4.150203e-02
    661.7976   4.137701e-02
    723.0234   1.322436e-01
    167.3822   6.751184e-03
    190.7226   6.519237e-03
    260.7004   2.970340e-02
    654.9600   4.758976e-02
    658.9388   4.334553e-02
    722.1697   1.509682e-01
    171.7938   6.232987e-03
    206.0023   5.699108e-03
    271.9092   3.137379e-02
    650.2914   5.492908e-02
    657.2411   4.305217e-02
    720.9086   1.571095e-01
    174.8077   5.692017e-03
    216.7353   4.272934e-03
    280.9783   3.262412e-02
    646.8596   6.369800e-02
    656.4132   4.137767e-02
    719.4985   1.597199e-01
    176.3170   5.826040e-03
    222.9973   3.546830e-03
    286.8889   2.683184e-02
    645.3835   6.796592e-02
    656.2518   3.959441e-02
    718.0294   1.588075e-01
    176.2453   6.065198e-03
    225.8144   3.088458e-03
    288.3456   2.253719e-02
    645.7003   6.490435e-02
    656.6655   4.041779e-02
    716.5466   1.551027e-01
    174.5738   6.432405e-03
    226.0110   3.143552e-03
    284.5398   2.519055e-02
    647.1489   5.430473e-02
    657.6698   4.305654e-02
    715.1325   1.455483e-01
    171.1771   6.773388e-03
    223.6553   4.359094e-03
    275.4836   3.005512e-02
    649.3434   4.375934e-02
    659.4360   4.267208e-02
    713.9040   1.248085e-01
    165.6992   8.218656e-03
    217.5846   5.743238e-03
    262.6445   3.428419e-02
    652.5382   4.435036e-02
    662.3270   3.318789e-02
    712.9494   1.051962e-01
    157.6737   9.412055e-03
    204.9159   8.111345e-03
    249.7359   3.189235e-02
    657.2915   5.090643e-02
    666.6825   1.833798e-02
    712.2658   8.216246e-02
    169.5614   6.778104e-03
    171.6392   7.350747e-03
    262.2750   2.528460e-02
    656.1353   4.504962e-02
    656.8280   4.472508e-02
    728.1073   1.934993e-01
    175.6642   5.919938e-03
    187.0825   6.357750e-03
    272.8375   2.856281e-02
    651.8332   5.887013e-02
    653.9524   5.017602e-02
    727.5876   2.070677e-01
    179.7961   5.324234e-03
    205.0963   5.307086e-03
    279.7372   3.706567e-02
    647.0640   7.417369e-02
    652.2066   5.161372e-02
    725.7669   2.162490e-01
    182.6405   4.577610e-03
    221.7059   4.416300e-03
    283.5561   3.400973e-02
    642.8874   9.240819e-02
    651.3272   5.050355e-02
    723.5131   2.199724e-01
    184.0575   4.621739e-03
    234.5144   3.659423e-03
    284.8193   3.175427e-02
    640.3703   1.049587e-01
    651.1530   4.822249e-02
    721.3543   2.144728e-01
