# 3ph linewidth Gamma at 300 K on the irreducible points of the 20 20 20 mesh (from BAs.kappa.h5, /scattering/3ph); modes with Gamma = 0 (acoustic at Gamma) are omitted
# Frequency [cm^-1]  Gamma [cm^-1] (tau = 1/(2 Gamma))
    704.3607   2.825516e-06
    704.3607   3.048557e-06
    704.3607   2.937049e-06
     28.3961   1.472199e-03
     28.3961   1.470621e-03
     49.3767   9.974026e-03
    703.1621   3.477874e-06
    703.1621   2.700189e-06
    706.6523   3.641912e-06
     54.9494   8.142331e-03
     54.9494   8.136619e-03
     97.6669   3.178342e-02
    699.8492   4.831940e-06
    699.8492   4.193495e-06
    705.2444   7.307200e-06
     78.1353   2.053854e-02
     78.1353   2.051127e-02
    143.6847   9.710286e-03
    695.2221   1.972634e-05
    695.2221   2.281254e-05
    704.6197   6.813084e-05
     97.0654   1.176691e-02
     97.0654   1.176379e-02
    186.1341   8.791807e-03
    690.3901   2.601264e-04
    690.3901   3.164843e-04
    705.8572   8.783266e-04
    111.6580   1.184616e-02
    111.6580   1.183944e-02
    223.7203   1.476646e-02
    686.3667   1.953215e-03
    686.3667   2.012444e-03
    708.6870   5.940788e-03
    122.4779   1.189076e-02
    122.4779   1.186985e-02
    255.3286   2.981268e-02
    683.6667   4.990125e-03
    683.6667   4.743644e-03
    711.6504   1.330088e-02
    130.3020   1.047641e-02
    130.3020   1.049571e-02
    280.1812   3.487174e-02
    682.2030   6.062248e-03
    682.2030   5.948049e-03
    713.2302   1.549675e-02
    135.7140   7.666023e-03
    135.7140   7.671022e-03
    297.9023   3.674928e-02
    681.5459   6.438581e-03
    681.5459   6.383178e-03
    713.0032   1.666032e-02
    138.9603   6.967559e-03
    138.9603   6.963724e-03
    308.4530   2.571788e-02
    681.2872   6.570471e-03
    681.2872   6.540456e-03
    711.8859   1.704730e-02
    140.0520   6.881223e-03
    140.0520   6.933407e-03
    311.9476   2.173440e-02
    681.2178   6.264385e-03
    681.2178   6.903592e-03
    711.2913   1.711067e-02
     36.9972   6.094395e-03
     36.9972   6.118379e-03
     51.5996   2.777099e-03
    701.8287   9.543030e-06
    701.8287   9.549059e-06
    708.2315   1.906228e-05
     56.1466   1.094338e-02
     58.0775   1.931548e-02
     88.9359   2.156289e-02
    698.4140   5.890166e-05
    698.9658   2.857895e-05
    707.9676   1.300040e-04
     77.8732   1.637648e-02
     79.4074   3.633023e-02
    131.9539   1.755019e-02
    693.7354   2.844515e-04
    695.2010   9.073105e-05
    706.8753   6.270427e-04
     97.6004   1.744286e-02
     97.8732   1.245377e-02
    173.6284   8.271377e-03
    688.8401   1.279570e-03
    690.8491   4.575891e-04
    706.8236   2.929708e-03
    111.9103   1.576764e-02
    114.1759   1.334828e-02
    211.7271   1.350257e-02
    684.6803   4.061587e-03
    686.4882   2.654697e-03
    708.6078   1.085791e-02
    122.7134   1.382577e-02
    126.5106   1.292983e-02
    244.7213   2.192226e-02
    681.7838   6.742003e-03
    682.9227   7.178399e-03
    711.2727   1.776196e-02
    130.7626   1.138826e-02
    135.3827   9.509593e-03
    271.5131   3.413188e-02
    680.1429   7.548238e-03
    680.5632   8.578190e-03
    713.1967   2.130877e-02
    136.6391   9.545302e-03
    141.4544   7.699129e-03
    291.4552   3.859544e-02
    679.2489   9.188994e-03
    679.4053   7.922544e-03
    713.4880   2.567887e-02
    140.5559   7.636644e-03
    145.1874   6.962180e-03
    304.3157   3.086082e-02
    678.5860   9.791635e-03
    679.1866   8.097692e-03
    712.5648   2.751667e-02
    142.4690   6.819009e-03
    146.7702   7.000367e-03
    310.1261   2.417358e-02
